title	geo_accession	sex	age
Neu30yo_ZT11	GSM7885052	male	30
Neu30yo_ZT11_replicate1	GSM7885053	male	30
Neu30yo_ZT11_replicate2	GSM7885054	male	30
Neu30yo_ZT14	GSM7885055	male	30
Neu30yo_ZT14_replicate1	GSM7885056	male	30
Neu30yo_ZT14_replicate2	GSM7885057	male	30
Neu30yo_ZT17	GSM7885058	male	30
Neu30yo_ZT17_replicate1	GSM7885059	male	30
Neu30yo_ZT17_replicate2	GSM7885060	male	30
Neu30yo_ZT20	GSM7885061	male	30
Neu30yo_ZT20_replicate2	GSM7885063	male	30
Neu30yo_ZT23	GSM7885064	male	30
Neu30yo_ZT23_replicate1	GSM7885065	male	30
Neu30yo_ZT23_replicate2	GSM7885066	male	30
Neu30yo_ZT26	GSM7885067	male	30
Neu30yo_ZT26_replicate1	GSM7885068	male	30
Neu30yo_ZT26_replicate2	GSM7885069	male	30
Neu30yo_ZT29	GSM7885070	male	30
Neu30yo_ZT29_replicate1	GSM7885071	male	30
Neu30yo_ZT29_replicate2	GSM7885072	male	30
Neu30yo_ZT8	GSM7885049	male	30
Neu30yo_ZT8_replicate1	GSM7885050	male	30
Neu30yo_ZT8_replicate2	GSM7885051	male	30
